,epoch,train_loss,valid_loss,accuracy,precision,recall,time
0,0,0.6819189999999999,0.678188,0.71134,,0.0,00:19
1,1,0.672186,0.66138,0.71134,,0.0,00:19
2,2,0.65609,0.63648,0.71134,,0.0,00:19
3,3,0.629401,0.609642,0.71134,,0.0,00:19
4,4,0.608421,0.608384,0.71134,,0.0,00:19
5,5,0.593178,0.608471,0.71134,,0.0,00:19
6,6,0.580496,0.604743,0.71134,,0.0,00:19
7,7,0.5729890000000001,0.605841,0.71134,,0.0,00:19
8,8,0.571263,0.608312,0.71134,,0.0,00:20
9,9,0.569661,0.603054,0.71134,,0.0,00:19
10,10,0.566956,0.6037399999999999,0.71134,,0.0,00:19
11,11,0.563602,0.605598,0.71134,,0.0,00:19
12,12,0.564024,0.607784,0.71134,,0.0,00:19
13,13,0.564228,0.604382,0.71134,,0.0,00:19
14,14,0.564702,0.6107229999999999,0.71134,,0.0,00:19
15,15,0.564086,0.610813,0.71134,,0.0,00:19
16,16,0.564194,0.613354,0.71134,,0.0,00:19
17,17,0.5636899999999999,0.609323,0.71134,,0.0,00:19
18,18,0.5676359999999999,0.6051489999999999,0.71134,,0.0,00:19
19,19,0.569963,0.611178,0.71134,,0.0,00:19
20,20,0.564327,0.617142,0.71134,,0.0,00:19
21,21,0.567806,0.604379,0.71134,,0.0,00:18
22,22,0.56663,0.616218,0.71134,,0.0,00:19
23,23,0.5651010000000001,0.6123069999999999,0.71134,,0.0,00:19
24,24,0.565242,0.610063,0.71134,,0.0,00:19
25,25,0.562893,0.620945,0.71134,,0.0,00:19
26,26,0.561629,0.609012,0.71134,,0.0,00:19
27,27,0.5636760000000001,0.607726,0.71134,,0.0,00:19
28,28,0.563443,0.6068680000000001,0.71134,,0.0,00:18
29,29,0.562075,0.635576,0.71134,,0.0,00:19
30,30,0.561431,0.608637,0.71134,,0.0,00:19
31,31,0.563005,0.613029,0.71134,,0.0,00:19
32,32,0.564367,0.626422,0.71134,,0.0,00:19
33,33,0.564243,0.6065,0.71134,,0.0,00:19
34,34,0.56338,0.6561520000000001,0.71134,,0.0,00:19
35,35,0.56535,0.604821,0.71134,,0.0,00:19
36,36,0.566707,0.605495,0.71134,,0.0,00:19
37,37,0.5671470000000001,0.60554,0.71134,,0.0,00:20
38,38,0.567995,0.612684,0.71134,,0.0,00:19
39,39,0.564808,0.6181479999999999,0.71134,,0.0,00:19
40,40,0.5639390000000001,0.6232409999999999,0.71134,,0.0,00:19
41,41,0.561975,0.610223,0.71134,,0.0,00:19
42,42,0.564692,0.626721,0.71134,,0.0,00:19
43,43,0.564379,0.643659,0.71134,,0.0,00:19
44,44,0.5652229999999999,0.6158710000000001,0.71134,,0.0,00:19
45,45,0.566897,0.606617,0.71134,,0.0,00:19
46,46,0.5663090000000001,0.609913,0.71134,,0.0,00:19
47,47,0.5617939999999999,0.637939,0.71134,,0.0,00:19
48,48,0.562511,0.609811,0.71134,,0.0,00:19
49,49,0.560272,0.63471,0.71134,,0.0,00:20
50,50,0.560773,0.6091770000000001,0.71134,,0.0,00:19
51,51,0.556539,0.610845,0.71134,,0.0,00:19
52,52,0.560416,0.607182,0.71134,,0.0,00:19
53,53,0.56176,0.604869,0.71134,,0.0,00:19
54,54,0.562829,0.612741,0.71134,,0.0,00:19
55,55,0.5608479999999999,0.609967,0.71134,,0.0,00:19
56,56,0.560585,0.612704,0.71134,,0.0,00:20
57,57,0.558027,0.610316,0.71134,,0.0,00:19
58,58,0.559403,0.610016,0.71134,,0.0,00:19
59,59,0.55862,0.629549,0.71134,,0.0,00:19
60,60,0.552541,0.6304649999999999,0.71134,,0.0,00:20
61,61,0.554194,0.655964,0.71134,,0.0,00:19
62,62,0.556083,0.607155,0.71134,,0.0,00:19
63,63,0.560297,0.6125970000000001,0.71134,,0.0,00:19
64,64,0.551554,0.647424,0.71134,,0.0,00:19
65,65,0.5542630000000001,0.6106189999999999,0.71134,,0.0,00:19
66,66,0.5516260000000001,0.634299,0.71134,,0.0,00:19
67,67,0.553667,0.617997,0.71134,,0.0,00:19
68,68,0.5505939999999999,0.6157050000000001,0.71134,,0.0,00:19
69,69,0.548423,0.624215,0.71134,,0.0,00:19
70,70,0.546519,0.61897,0.71134,,0.0,00:19
71,71,0.542036,0.6551140000000001,0.71134,,0.0,00:19
72,72,0.545809,0.623204,0.71134,,0.0,00:19
73,73,0.540454,0.6290560000000001,0.71134,,0.0,00:19
74,74,0.538618,0.623935,0.71134,,0.0,00:19
75,75,0.537366,0.664945,0.71134,,0.0,00:19
76,76,0.538729,0.63221,0.71134,,0.0,00:19
77,77,0.5365979999999999,0.655591,0.71134,,0.0,00:19
78,78,0.535697,0.656388,0.71134,,0.0,00:19
79,79,0.5319119999999999,0.670587,0.71134,,0.0,00:18
80,80,0.522528,0.716716,0.71134,,0.0,00:19
81,81,0.522138,0.706992,0.71134,,0.0,00:19
82,82,0.5211100000000001,0.638039,0.71134,,0.0,00:19
83,83,0.518089,0.696837,0.71134,,0.0,00:19
84,84,0.514555,0.644234,0.71134,,0.0,00:19
85,85,0.516192,0.654496,0.71134,,0.0,00:19
86,86,0.516932,0.651323,0.71134,,0.0,00:19
87,87,0.513817,0.674816,0.71134,,0.0,00:19
88,88,0.5079520000000001,0.873859,0.71134,,0.0,00:19
89,89,0.507071,0.728578,0.71134,,0.0,00:19
90,90,0.504005,0.661338,0.71134,,0.0,00:19
91,91,0.49325600000000003,0.753895,0.71134,,0.0,00:19
92,92,0.488336,0.758368,0.71134,,0.0,00:19
93,93,0.482807,0.793572,0.71134,0.5,0.035713999999999996,00:19
94,94,0.48636999999999997,0.726917,0.7010310000000001,0.0,0.0,00:19
95,95,0.47655200000000003,0.741133,0.7010310000000001,0.333333,0.035713999999999996,00:19
96,96,0.481149,0.694846,0.670103,0.409091,0.321429,00:19
97,97,0.480584,0.666898,0.731959,0.583333,0.25,00:20
98,98,0.47640600000000005,0.770591,0.71134,0.5,0.035713999999999996,00:19
99,99,0.468262,0.7932520000000001,0.721649,1.0,0.035713999999999996,00:19
100,100,0.46391499999999997,0.7781100000000001,0.6907220000000001,0.375,0.107143,00:19
101,101,0.465075,0.875174,0.721649,0.6,0.107143,00:18
102,102,0.459351,0.9054840000000001,0.721649,0.666667,0.07142899999999999,00:19
103,103,0.446247,1.1176469999999998,0.7010310000000001,0.4,0.07142899999999999,00:19
104,104,0.46521899999999994,0.669384,0.721649,1.0,0.035713999999999996,00:19
105,105,0.455229,0.752171,0.7010310000000001,0.44444399999999995,0.14285699999999998,00:19
106,106,0.43846999999999997,0.84683,0.7010310000000001,0.44444399999999995,0.14285699999999998,00:19
107,107,0.426166,0.7710819999999999,0.670103,0.357143,0.178571,00:19
