,Experiment,Fold,Sensitivity,Specificity,Accuracy
0,0,0,0.9056603773584906,0.8836206896551724,0.9074446680080483
1,0,1,0.8717948717948718,0.8705357142857143,0.8873239436619719
2,0,2,0.8196078431372549,0.8512396694214877,0.8672032193158954
3,0,3,0.9277566539923955,0.7692307692307693,0.8973843058350102
4,0,4,0.821969696969697,0.9008620689655172,0.875
5,1,0,0.9169811320754717,0.8836206896551724,0.9114688128772637
6,1,1,0.8644688644688645,0.8928571428571429,0.8832997987927567
7,1,2,0.8431372549019608,0.8553719008264463,0.8712273641851107
8,1,3,0.9201520912547528,0.8205128205128205,0.9074446680080483
9,1,4,0.8446969696969697,0.896551724137931,0.8810483870967741
10,2,0,0.879245283018868,0.9051724137931034,0.9134808853118713
11,2,1,0.8681318681318682,0.8571428571428571,0.8832997987927567
12,2,2,0.8470588235294118,0.8305785123966942,0.8732394366197184
13,2,3,0.9543726235741445,0.782051282051282,0.8933601609657948
14,2,4,0.8295454545454546,0.896551724137931,0.8689516129032258
15,3,0,0.8867924528301887,0.9008620689655172,0.8993963782696178
16,3,1,0.8571428571428571,0.875,0.881287726358149
17,3,2,0.788235294117647,0.8512396694214877,0.8571428571428572
18,3,3,0.908745247148289,0.8418803418803419,0.9014084507042255
19,3,4,0.8409090909090909,0.9051724137931034,0.8709677419354839
20,4,0,0.8566037735849057,0.9137931034482759,0.909456740442656
21,4,1,0.8791208791208791,0.8839285714285714,0.8893360160965795
22,4,2,0.8823529411764706,0.8264462809917356,0.8631790744466802
23,4,3,0.8783269961977186,0.8632478632478633,0.8853118712273642
24,4,4,0.8901515151515151,0.8103448275862069,0.8528225806451613
25,5,0,0.8754716981132076,0.896551724137931,0.9014084507042255
26,5,1,0.8644688644688645,0.8794642857142857,0.8832997987927567
27,5,2,0.8392156862745098,0.9008264462809917,0.869215291750503
28,5,3,0.8973384030418251,0.8461538461538461,0.8953722334004025
29,5,4,0.8674242424242424,0.8706896551724138,0.875
30,6,0,0.8867924528301887,0.8922413793103449,0.9014084507042255
