,Experiment,Fold,Sensitivity,Specificity,Accuracy
0,0,0,0.8947368421052632,0.8448275862068966,0.8795180722891566
1,0,1,0.8695652173913043,0.9009009009009009,0.8835341365461846
2,0,2,0.8978102189781022,0.7657657657657657,0.8870967741935484
3,0,3,0.916030534351145,0.7521367521367521,0.8629032258064516
4,0,4,0.8760330578512396,0.8031496062992126,0.8588709677419355
5,1,0,0.8947368421052632,0.8448275862068966,0.8875502008032128
6,1,1,0.855072463768116,0.8918918918918919,0.8714859437751004
7,1,2,0.9051094890510949,0.8558558558558559,0.8830645161290323
8,1,3,0.9083969465648855,0.7350427350427351,0.8387096774193548
9,1,4,0.8842975206611571,0.7874015748031497,0.842741935483871
10,2,0,0.8796992481203008,0.853448275862069,0.8714859437751004
11,2,1,0.8768115942028986,0.8828828828828829,0.8795180722891566
12,2,2,0.8905109489051095,0.8558558558558559,0.875
13,2,3,0.9465648854961832,0.6410256410256411,0.8709677419354839
14,2,4,0.859504132231405,0.7795275590551181,0.8387096774193548
15,3,0,0.9022556390977443,0.8620689655172413,0.8835341365461846
16,3,1,0.8623188405797102,0.9099099099099099,0.8835341365461846
17,3,2,0.8759124087591241,0.8738738738738738,0.8870967741935484
18,3,3,0.916030534351145,0.7264957264957265,0.8467741935483871
19,3,4,0.8760330578512396,0.8031496062992126,0.8387096774193548
20,4,0,0.8947368421052632,0.8275862068965517,0.8755020080321284
21,4,1,0.9130434782608695,0.9009009009009009,0.9076305220883534
22,4,2,0.8978102189781022,0.8108108108108109,0.8669354838709677
23,4,3,0.916030534351145,0.7094017094017094,0.8588709677419355
24,4,4,0.8760330578512396,0.8031496062992126,0.842741935483871
25,5,0,0.9172932330827067,0.8103448275862069,0.8674698795180722
26,5,1,0.8623188405797102,0.9009009009009009,0.8795180722891566
27,5,2,0.9051094890510949,0.8378378378378378,0.875
28,5,3,0.916030534351145,0.7863247863247863,0.875
29,5,4,0.859504132231405,0.8188976377952756,0.8387096774193548
30,6,0,0.9022556390977443,0.8189655172413793,0.8674698795180722
31,6,1,0.8695652173913043,0.8828828828828829,0.8755020080321284
32,6,2,0.8759124087591241,0.8468468468468469,0.8870967741935484
33,6,3,0.916030534351145,0.7350427350427351,0.8790322580645161
34,6,4,0.8842975206611571,0.7559055118110236,0.8467741935483871
35,7,0,0.9097744360902256,0.8448275862068966,0.8795180722891566
36,7,1,0.8333333333333334,0.9099099099099099,0.8674698795180722
37,7,2,0.8613138686131386,0.8828828828828829,0.8790322580645161
38,7,3,0.9236641221374046,0.7008547008547008,0.8588709677419355
39,7,4,0.8512396694214877,0.8031496062992126,0.8669354838709677
40,8,0,0.9022556390977443,0.8448275862068966,0.8755020080321284
41,8,1,0.8768115942028986,0.8378378378378378,0.8634538152610441
42,8,2,0.8978102189781022,0.7747747747747747,0.8870967741935484
43,8,3,0.9465648854961832,0.6666666666666666,0.8548387096774194
44,8,4,0.8677685950413223,0.8267716535433071,0.8508064516129032
45,9,0,0.9097744360902256,0.8189655172413793,0.8875502008032128
46,9,1,0.8478260869565217,0.9009009009009009,0.8714859437751004
47,9,2,0.9051094890510949,0.8648648648648649,0.8870967741935484
48,9,3,0.916030534351145,0.7264957264957265,0.8669354838709677
49,9,4,0.8677685950413223,0.8188976377952756,0.8467741935483871
50,10,0,0.8947368421052632,0.8189655172413793,0.8835341365461846
51,10,1,0.8333333333333334,0.8918918918918919,0.859437751004016
52,10,2,0.8832116788321168,0.7657657657657657,0.8870967741935484
53,10,3,0.9083969465648855,0.7435897435897436,0.8588709677419355
54,10,4,0.9173553719008265,0.7244094488188977,0.8266129032258064
55,11,0,0.8872180451127819,0.8620689655172413,0.8875502008032128
56,11,1,0.8478260869565217,0.8558558558558559,0.8514056224899598
57,11,2,0.8759124087591241,0.8738738738738738,0.875
58,11,3,0.9007633587786259,0.7008547008547008,0.8588709677419355
59,11,4,0.8925619834710744,0.7165354330708661,0.8306451612903225
60,12,0,0.9022556390977443,0.8620689655172413,0.8915662650602408
61,12,1,0.8478260869565217,0.9279279279279279,0.8835341365461846
62,12,2,0.8978102189781022,0.8918918918918919,0.8991935483870968
63,12,3,0.9312977099236641,0.7008547008547008,0.842741935483871
64,12,4,0.8347107438016529,0.7795275590551181,0.8508064516129032
65,13,0,0.9172932330827067,0.8189655172413793,0.8795180722891566
66,13,1,0.8840579710144928,0.8918918918918919,0.8875502008032128
67,13,2,0.9124087591240876,0.8558558558558559,0.8870967741935484
68,13,3,0.9389312977099237,0.7435897435897436,0.8467741935483871
69,13,4,0.8677685950413223,0.7637795275590551,0.8588709677419355
70,14,0,0.9022556390977443,0.8706896551724138,0.895582329317269
71,14,1,0.8623188405797102,0.8738738738738738,0.8835341365461846
72,14,2,0.8905109489051095,0.8558558558558559,0.875
73,14,3,0.9083969465648855,0.7435897435897436,0.8669354838709677
74,14,4,0.8677685950413223,0.8110236220472441,0.842741935483871
75,15,0,0.924812030075188,0.8706896551724138,0.899598393574297
76,15,1,0.8695652173913043,0.8738738738738738,0.8714859437751004
77,15,2,0.8905109489051095,0.8558558558558559,0.875
78,15,3,0.916030534351145,0.7350427350427351,0.8508064516129032
79,15,4,0.8842975206611571,0.7795275590551181,0.8306451612903225
80,16,0,0.8947368421052632,0.8448275862068966,0.8795180722891566
81,16,1,0.8768115942028986,0.9009009009009009,0.8875502008032128
82,16,2,0.9124087591240876,0.7747747747747747,0.8911290322580645
83,16,3,0.9236641221374046,0.8034188034188035,0.8669354838709677
84,16,4,0.8512396694214877,0.7795275590551181,0.842741935483871
85,17,0,0.8947368421052632,0.8017241379310345,0.859437751004016
86,17,1,0.8333333333333334,0.9099099099099099,0.8674698795180722
87,17,2,0.8905109489051095,0.8558558558558559,0.8951612903225806
88,17,3,0.916030534351145,0.7692307692307693,0.8467741935483871
89,17,4,0.8842975206611571,0.7952755905511811,0.8508064516129032
90,18,0,0.9172932330827067,0.8448275862068966,0.8835341365461846
91,18,1,0.855072463768116,0.918918918918919,0.8835341365461846
92,18,2,0.8978102189781022,0.8108108108108109,0.8629032258064516
93,18,3,0.9083969465648855,0.7350427350427351,0.8508064516129032
94,18,4,0.8677685950413223,0.7952755905511811,0.8467741935483871
95,19,0,0.9398496240601504,0.8103448275862069,0.8795180722891566
96,19,1,0.8333333333333334,0.918918918918919,0.8835341365461846
97,19,2,0.9051094890510949,0.8558558558558559,0.8951612903225806
98,19,3,0.9083969465648855,0.7008547008547008,0.8588709677419355
99,19,4,0.859504132231405,0.8346456692913385,0.8548387096774194
