,Experiment,Fold,Sensitivity,Specificity,Accuracy
0,0,0,0.8981132075471698,0.8922413793103449,0.9014084507042255
1,0,1,0.8681318681318682,0.8839285714285714,0.8853118712273642
2,0,2,0.8392156862745098,0.8677685950413223,0.8712273641851107
3,0,3,0.9163498098859315,0.8547008547008547,0.8873239436619719
4,0,4,0.8371212121212122,0.8706896551724138,0.877016129032258
5,1,0,0.879245283018868,0.9008620689655172,0.8973843058350102
6,1,1,0.8498168498168498,0.8705357142857143,0.8853118712273642
7,1,2,0.8509803921568627,0.8553719008264463,0.8611670020120725
8,1,3,0.8935361216730038,0.8547008547008547,0.8993963782696178
9,1,4,0.8484848484848485,0.896551724137931,0.8709677419354839
10,2,0,0.8603773584905661,0.8836206896551724,0.903420523138833
11,2,1,0.8571428571428571,0.8883928571428571,0.8732394366197184
12,2,2,0.8823529411764706,0.8388429752066116,0.8631790744466802
13,2,3,0.9315589353612167,0.7863247863247863,0.8933601609657948
14,2,4,0.8333333333333334,0.875,0.8629032258064516
15,3,0,0.8603773584905661,0.9224137931034483,0.9014084507042255
16,3,1,0.8681318681318682,0.8571428571428571,0.881287726358149
17,3,2,0.8509803921568627,0.8305785123966942,0.8651911468812878
18,3,3,0.908745247148289,0.8589743589743589,0.8993963782696178
19,3,4,0.8598484848484849,0.8577586206896551,0.8729838709677419
20,4,0,0.8754716981132076,0.9094827586206896,0.9074446680080483
21,4,1,0.8571428571428571,0.8839285714285714,0.8853118712273642
22,4,2,0.8470588235294118,0.8347107438016529,0.8591549295774649
23,4,3,0.9011406844106464,0.8418803418803419,0.8832997987927567
24,4,4,0.8674242424242424,0.896551724137931,0.8891129032258064
25,5,0,0.8905660377358491,0.9051724137931034,0.903420523138833
26,5,1,0.8681318681318682,0.8794642857142857,0.8853118712273642
27,5,2,0.8470588235294118,0.8553719008264463,0.8611670020120725
28,5,3,0.9163498098859315,0.8076923076923077,0.8973843058350102
29,5,4,0.8295454545454546,0.9267241379310345,0.875
30,6,0,0.8943396226415095,0.8405172413793104,0.9014084507042255
31,6,1,0.8388278388278388,0.8883928571428571,0.8832997987927567
32,6,2,0.8823529411764706,0.8388429752066116,0.8611670020120725
33,6,3,0.9239543726235742,0.8461538461538461,0.9074446680080483
34,6,4,0.8598484848484849,0.8448275862068966,0.877016129032258
35,7,0,0.8981132075471698,0.9310344827586207,0.9134808853118713
36,7,1,0.8717948717948718,0.8839285714285714,0.881287726358149
37,7,2,0.8549019607843137,0.871900826446281,0.8712273641851107
38,7,3,0.9125475285171103,0.8504273504273504,0.8953722334004025
39,7,4,0.8484848484848485,0.8836206896551724,0.8669354838709677
40,8,0,0.8490566037735849,0.8879310344827587,0.903420523138833
41,8,1,0.8534798534798534,0.9107142857142857,0.8792756539235413
42,8,2,0.8470588235294118,0.8677685950413223,0.869215291750503
43,8,3,0.9201520912547528,0.8076923076923077,0.8973843058350102
44,8,4,0.8522727272727273,0.875,0.8629032258064516
45,9,0,0.8981132075471698,0.9008620689655172,0.8993963782696178
46,9,1,0.8717948717948718,0.8928571428571429,0.881287726358149
47,9,2,0.8352941176470589,0.871900826446281,0.869215291750503
48,9,3,0.908745247148289,0.8675213675213675,0.9014084507042255
49,9,4,0.8295454545454546,0.8793103448275862,0.8790322580645161
50,10,0,0.8905660377358491,0.896551724137931,0.9054325955734407
51,10,1,0.8681318681318682,0.8839285714285714,0.8792756539235413
52,10,2,0.8352941176470589,0.8842975206611571,0.869215291750503
53,10,3,0.8935361216730038,0.8504273504273504,0.8973843058350102
54,10,4,0.8068181818181818,0.8922413793103449,0.8669354838709677
55,11,0,0.8754716981132076,0.9181034482758621,0.9114688128772637
56,11,1,0.8864468864468864,0.8883928571428571,0.8873239436619719
57,11,2,0.792156862745098,0.871900826446281,0.8651911468812878
58,11,3,0.8859315589353612,0.8760683760683761,0.8993963782696178
59,11,4,0.8636363636363636,0.8793103448275862,0.8729838709677419
60,12,0,0.8679245283018868,0.9137931034482759,0.9074446680080483
61,12,1,0.8571428571428571,0.9107142857142857,0.8913480885311872
62,12,2,0.8705882352941177,0.8099173553719008,0.8571428571428572
63,12,3,0.9277566539923955,0.8034188034188035,0.8993963782696178
64,12,4,0.8787878787878788,0.8362068965517241,0.8790322580645161
65,13,0,0.9056603773584906,0.875,0.9074446680080483
66,13,1,0.8864468864468864,0.8705357142857143,0.8873239436619719
67,13,2,0.8117647058823529,0.9049586776859504,0.8672032193158954
68,13,3,0.9277566539923955,0.8376068376068376,0.8933601609657948
69,13,4,0.8371212121212122,0.896551724137931,0.8790322580645161
70,14,0,0.8641509433962264,0.8879310344827587,0.8973843058350102
71,14,1,0.8717948717948718,0.8705357142857143,0.8772635814889337
72,14,2,0.8274509803921568,0.8347107438016529,0.8571428571428572
73,14,3,0.9049429657794676,0.8589743589743589,0.8973843058350102
74,14,4,0.8409090909090909,0.8793103448275862,0.877016129032258
75,15,0,0.8754716981132076,0.875,0.9054325955734407
76,15,1,0.8534798534798534,0.8660714285714286,0.8672032193158954
77,15,2,0.8313725490196079,0.8553719008264463,0.8611670020120725
78,15,3,0.9277566539923955,0.7863247863247863,0.8853118712273642
79,15,4,0.8484848484848485,0.8491379310344828,0.8689516129032258
80,16,0,0.879245283018868,0.9094827586206896,0.9074446680080483
81,16,1,0.8717948717948718,0.8705357142857143,0.8853118712273642
82,16,2,0.8431372549019608,0.8801652892561983,0.8611670020120725
83,16,3,0.9163498098859315,0.8290598290598291,0.9014084507042255
84,16,4,0.8371212121212122,0.8577586206896551,0.875
85,17,0,0.8905660377358491,0.9094827586206896,0.903420523138833
86,17,1,0.8864468864468864,0.8794642857142857,0.8832997987927567
87,17,2,0.8235294117647058,0.871900826446281,0.8631790744466802
88,17,3,0.9163498098859315,0.8547008547008547,0.9014084507042255
89,17,4,0.8181818181818182,0.9094827586206896,0.8709677419354839
90,18,0,0.8905660377358491,0.8879310344827587,0.9054325955734407
91,18,1,0.8424908424908425,0.8571428571428571,0.8772635814889337
92,18,2,0.8117647058823529,0.8801652892561983,0.8732394366197184
93,18,3,0.9315589353612167,0.8247863247863247,0.8993963782696178
94,18,4,0.8333333333333334,0.8836206896551724,0.8629032258064516
95,19,0,0.8679245283018868,0.9181034482758621,0.9114688128772637
96,19,1,0.8534798534798534,0.8839285714285714,0.875251509054326
97,19,2,0.8509803921568627,0.8429752066115702,0.8631790744466802
98,19,3,0.8897338403041825,0.8589743589743589,0.8893360160965795
99,19,4,0.8068181818181818,0.9267241379310345,0.875
