,Experiment,Fold,Sensitivity,Specificity,Accuracy
0,0,0,0.9433962264150944,0.8275862068965517,0.8893360160965795
1,0,1,0.8791208791208791,0.8482142857142857,0.8732394366197184
2,0,2,0.8431372549019608,0.8677685950413223,0.8551307847082495
3,0,3,0.9429657794676806,0.7649572649572649,0.881287726358149
4,0,4,0.8484848484848485,0.8318965517241379,0.8528225806451613
5,1,0,0.9132075471698113,0.853448275862069,0.8913480885311872
6,1,1,0.8754578754578755,0.8392857142857143,0.8772635814889337
7,1,2,0.8470588235294118,0.8429752066115702,0.8591549295774649
8,1,3,0.9315589353612167,0.811965811965812,0.8853118712273642
9,1,4,0.875,0.8448275862068966,0.8608870967741935
10,2,0,0.909433962264151,0.8362068965517241,0.9014084507042255
11,2,1,0.8644688644688645,0.8392857142857143,0.8732394366197184
12,2,2,0.8392156862745098,0.8388429752066116,0.8571428571428572
13,2,3,0.9391634980988594,0.7905982905982906,0.881287726358149
14,2,4,0.875,0.8060344827586207,0.8487903225806451
15,3,0,0.8867924528301887,0.8836206896551724,0.8893360160965795
16,3,1,0.8901098901098901,0.84375,0.869215291750503
17,3,2,0.8627450980392157,0.8057851239669421,0.8531187122736419
18,3,3,0.9391634980988594,0.7478632478632479,0.8792756539235413
19,3,4,0.8674242424242424,0.8706896551724138,0.8689516129032258
20,4,0,0.8943396226415095,0.8706896551724138,0.8893360160965795
21,4,1,0.8791208791208791,0.8482142857142857,0.8651911468812878
22,4,2,0.8352941176470589,0.8553719008264463,0.8551307847082495
23,4,3,0.9239543726235742,0.782051282051282,0.8832997987927567
24,4,4,0.8712121212121212,0.8189655172413793,0.8548387096774194
25,5,0,0.8981132075471698,0.8663793103448276,0.8953722334004025
26,5,1,0.8681318681318682,0.8705357142857143,0.8832997987927567
27,5,2,0.8666666666666667,0.8223140495867769,0.8450704225352114
28,5,3,0.9125475285171103,0.7735042735042735,0.8853118712273642
29,5,4,0.8636363636363636,0.8663793103448276,0.8649193548387096
30,6,0,0.8943396226415095,0.8362068965517241,0.8913480885311872
31,6,1,0.8791208791208791,0.8348214285714286,0.869215291750503
32,6,2,0.8549019607843137,0.8471074380165289,0.8571428571428572
33,6,3,0.9239543726235742,0.811965811965812,0.8893360160965795
34,6,4,0.8901515151515151,0.8189655172413793,0.8608870967741935
35,7,0,0.9169811320754717,0.8405172413793104,0.903420523138833
36,7,1,0.8717948717948718,0.875,0.8732394366197184
37,7,2,0.8392156862745098,0.8305785123966942,0.8551307847082495
38,7,3,0.9429657794676806,0.7735042735042735,0.8792756539235413
39,7,4,0.8560606060606061,0.853448275862069,0.8548387096774194
40,8,0,0.9056603773584906,0.875,0.8933601609657948
41,8,1,0.8974358974358975,0.8392857142857143,0.8712273641851107
42,8,2,0.8431372549019608,0.8553719008264463,0.8631790744466802
43,8,3,0.9315589353612167,0.7863247863247863,0.8993963782696178
44,8,4,0.8674242424242424,0.8577586206896551,0.8629032258064516
45,9,0,0.8981132075471698,0.8663793103448276,0.8873239436619719
46,9,1,0.8901098901098901,0.84375,0.869215291750503
47,9,2,0.8431372549019608,0.8553719008264463,0.8571428571428572
48,9,3,0.9315589353612167,0.7905982905982906,0.8732394366197184
49,9,4,0.875,0.8362068965517241,0.877016129032258
50,10,0,0.9018867924528302,0.8448275862068966,0.8893360160965795
51,10,1,0.8754578754578755,0.8616071428571429,0.8893360160965795
52,10,2,0.8823529411764706,0.8388429752066116,0.8611670020120725
53,10,3,0.9277566539923955,0.8162393162393162,0.9014084507042255
54,10,4,0.8674242424242424,0.8362068965517241,0.8629032258064516
55,11,0,0.8981132075471698,0.8491379310344828,0.8973843058350102
56,11,1,0.8901098901098901,0.8705357142857143,0.881287726358149
57,11,2,0.8588235294117647,0.8099173553719008,0.8490945674044267
58,11,3,0.9239543726235742,0.7991452991452992,0.8792756539235413
59,11,4,0.8560606060606061,0.8146551724137931,0.8629032258064516
60,12,0,0.9169811320754717,0.8706896551724138,0.8953722334004025
61,12,1,0.8827838827838828,0.8928571428571429,0.8873239436619719
62,12,2,0.8352941176470589,0.8140495867768595,0.8571428571428572
63,12,3,0.9201520912547528,0.8205128205128205,0.8873239436619719
64,12,4,0.8674242424242424,0.8318965517241379,0.8568548387096774
65,13,0,0.8943396226415095,0.896551724137931,0.8953722334004025
66,13,1,0.8754578754578755,0.8392857142857143,0.8712273641851107
67,13,2,0.8392156862745098,0.8388429752066116,0.8551307847082495
68,13,3,0.9239543726235742,0.8034188034188035,0.8672032193158954
69,13,4,0.8712121212121212,0.8362068965517241,0.8608870967741935
70,14,0,0.9207547169811321,0.8017241379310345,0.8893360160965795
71,14,1,0.8461538461538461,0.8839285714285714,0.8873239436619719
72,14,2,0.8588235294117647,0.8347107438016529,0.8631790744466802
73,14,3,0.9277566539923955,0.8461538461538461,0.8893360160965795
74,14,4,0.875,0.8232758620689655,0.8608870967741935
75,15,0,0.9018867924528302,0.853448275862069,0.8913480885311872
76,15,1,0.9010989010989011,0.8526785714285714,0.8792756539235413
77,15,2,0.8470588235294118,0.8801652892561983,0.8631790744466802
78,15,3,0.9277566539923955,0.7948717948717948,0.8933601609657948
79,15,4,0.8939393939393939,0.8189655172413793,0.8588709677419355
80,16,0,0.9056603773584906,0.8491379310344828,0.8933601609657948
81,16,1,0.8717948717948718,0.8705357142857143,0.8712273641851107
82,16,2,0.8549019607843137,0.8223140495867769,0.8531187122736419
83,16,3,0.9277566539923955,0.7863247863247863,0.8953722334004025
84,16,4,0.8901515151515151,0.8362068965517241,0.8649193548387096
85,17,0,0.9245283018867925,0.8491379310344828,0.8953722334004025
86,17,1,0.8791208791208791,0.8348214285714286,0.8591549295774649
87,17,2,0.8901960784313725,0.7975206611570248,0.8591549295774649
88,17,3,0.9277566539923955,0.7991452991452992,0.8853118712273642
89,17,4,0.8712121212121212,0.8620689655172413,0.8669354838709677
